NAME;TEXT_SHORT;ARTICLE_ID;ORDER_ID;SUPPLIER;PHOTO;SWEIGHT
BL_AT_Teleskophebel_06846363;AVENTOS HF Hochfaltklappe, Teleskophebel (Set), KH=560-710 mm, symmetrisch;04031701;20F3500.01;Blum;BLUM_20F3500.jpg;493.2
BL_AT_Teleskophebel_06846443;AVENTOS HF Hochfaltklappe, Teleskophebel (Set), KH=700-900 mm, symmetrisch;06675488;20F3800.01;Blum;BLUM_20F3900.jpg;578
BL_AT_Teleskophebel_06846503;AVENTOS HF Hochfaltklappe, Teleskophebel (Set), KH=760-1040 mm, symmetrisch;03841114;20F3900.01;Blum;BLUM_20F3900.jpg;620.4
BL_AVT_HK_S_FBF_schme_Alurahme;AVENTOS HK-S Hochklappe, Frontbefestigung für schmale Alurahmen (Set), zum Schrauben;07542129;20K4A00A02;Blum;BLUM_20K4A00A02.jpg;144,56
BL_AVT_HK_S_KrSP_400__03964072;AVENTOS HK S Hochklappe Kraftspeicher LF 400 1000 bei 2 Stück für TIP ON;03964072;20K2C00T;Blum;BLUM_20K2C00T.jpg;0
BL_AVT_HK_XS_FBF_Holzfronten_E;AVENTOS HK-XS Hochklappe, Frontbefestigung für Holzfronten, EXPANDO;01629299;20K41E1;Blum;BLUM_20K41E1.jpg;16,25
BL_AVT_HK_XS_FBF_Holzfronten_S;AVENTOS HK-XS Hochklappe, Frontbefestigung für Holzfronten, zum Schrauben;04730544;20K4101;Blum;BLUM_20K4101.jpg;14,28
BL_AVT_HK_XS_FBF_schme_Alurahm;AVENTOS HK-XS Hochklappe, Frontbefestigung für schmale Alurahmen, zum Schrauben;01526104;20K4101A;Blum;BLUM_20K4101A.jpg;70,96
BL_AVT_HK_XS_Korbefestigung_EX;AVENTOS HK-XS Hochklappe, Korpusbefestigung, EXPANDO;07729563;20K51E1;Blum;BLUM_20K51E1.jpg;22,07
BL_AVT_HK_XS_Korbefestigung_Sc;AVENTOS HK-XS Hochklappe, Korpusbefestigung, zum Schrauben;01262363;20K5101;Blum;BLUM_20K5101.jpg;22,01
BL_AVT_HK_XS_KrSP_180_800_KrSP;AVENTOS HK-XS Hochklappe, Kraftspeicher, LF=180-800 (Kraftspeicher einseitig), für TIP-ON;04174594;20K1101T;Blum;BLUM_20K1101T.jpg;313,97
BL_AVT_HK_XS_KrSP_200_1000_KrS;AVENTOS HK-XS Hochklappe, Kraftspeicher, LF=200-1000 (Kraftspeicher einseitig);05630258;20K1101;Blum;BLUM_20K1101.jpg;314,01
BL_AVT_HK_XS_KrSP_500_1200_KrS;AVENTOS HK-XS Hochklappe, Kraftspeicher, LF=500-1200 (Kraftspeicher einseitig), für TIP-ON;07045770;20K1301T;Blum;BLUM_20K1301T.jpg;313,85
BL_AVT_HK_XS_KrSP_500_1500_KrS;AVENTOS HK-XS Hochklappe, Kraftspeicher, LF=500-1500 (Kraftspeicher einseitig);02225471;20K1301;Blum;BLUM_20K1301.jpg;313,53
BL_AVT_HK_XS_KrSP_800_1600_KrS;AVENTOS HK-XS Hochklappe, Kraftspeicher, LF=800-1600 (Kraftspeicher einseitig), für TIP-ON;09647840;20K1501T;Blum;BLUM_20K1501T.jpg;315,75
BL_AVT_HK_XS_KrSP_800_1800_KrS;AVENTOS HK-XS Hochklappe, Kraftspeicher, LF=800-1800 (Kraftspeicher einseitig);07916587;20K1501;Blum;BLUM_20K1501.jpg;314,31
BL_Clip_AP_D0_07161393;CLIP Adapterplatte f. Teleskophebel, 0 mm, Zink, Schrauben, HV: Exzenter;07161393;175H5B00;Blum;BLUM_175H5B00.jpg;0
BL_Clip_CH_TH_06797303_AL;CLIP top Zwischenscharnier-Alu AVENTOS HF 134°, ohne Feder, Topf: Schrauben;06797303;78Z550AT;Blum;BLUM_78Z550AT.jpg;76
